-0.000000,0.100000,1.000000,0.000000,-1
0.056781,0.086781,0.992537,0.121943,-1
0.155962,0.077056,0.945498,0.325628,-1
0.213888,0.082603,0.898775,0.438409,-1
0.318683,0.108386,0.777106,0.629370,-1
0.414250,0.158481,0.615729,0.787958,-1
0.454214,0.188481,0.529847,0.848093,-1
0.523701,0.262071,0.358602,0.933491,-1
0.570085,0.347345,0.233897,0.972261,-1
0.604821,0.450976,0.129107,0.991631,-1
0.625104,0.551489,0.055416,0.998463,-1
0.636316,0.655187,-0.001066,0.999999,-1
0.640517,0.770401,-0.047798,0.998857,-1
0.638311,0.886843,-0.082926,0.996556,-1
0.631826,0.994203,-0.107227,0.994235,1
0.610860,1.199937,-0.138852,0.990313,1
0.551768,1.602367,-0.170707,0.985322,1
0.480925,2.004736,-0.184839,0.982769,1
0.404768,2.406760,-0.192939,0.981211,1
0.323970,2.803312,-0.200492,0.979695,1
0.244597,3.197722,-0.191178,0.981555,1
0.168952,3.591208,-0.184376,0.982856,1
0.094635,3.995523,-0.173648,0.984808,1
0.025718,4.401622,-0.154807,0.987945,1
-0.033627,4.810656,-0.121782,0.992557,1
-0.075105,5.203280,-0.073561,0.997291,1
-0.096450,5.607963,-0.020660,0.999787,1
-0.100000,5.990000,0.000000,1.000000,1
-0.105524,5.988272,0.000000,1.000000,1
